iter	Passed	Remaining
0	166	82995
1	190	47366
2	214	35542
3	241	29926
4	264	26200
5	286	23615
6	308	21746
7	331	20369
8	354	19318
9	376	18440
10	398	17706
11	421	17151
12	443	16629
13	464	16109
14	483	15645
15	504	15247
16	524	14887
17	544	14579
18	569	14415
19	592	14220
20	616	14064
21	638	13867
22	661	13710
23	685	13602
24	708	13456
25	731	13339
26	754	13222
27	777	13109
28	799	12986
29	823	12900
30	844	12781
31	868	12702
32	889	12583
33	909	12462
34	930	12365
35	954	12296
36	975	12209
37	996	12111
38	1017	12029
39	1039	11954
40	1063	11910
41	1089	11882
42	1116	11870
43	1145	11873
44	1170	11836
45	1195	11798
46	1229	11846
47	1252	11797
48	1275	11741
49	1298	11688
50	1320	11624
51	1342	11570
52	1366	11520
53	1390	11482
54	1412	11425
55	1434	11375
56	1458	11332
57	1479	11277
58	1501	11220
59	1523	11169
60	1544	11117
61	1564	11053
62	1585	10994
63	1603	10923
64	1623	10865
65	1644	10810
66	1663	10752
67	1683	10695
68	1703	10638
69	1724	10590
70	1745	10544
71	1766	10503
72	1787	10457
73	1809	10414
74	1828	10361
75	1848	10310
76	1866	10253
77	1886	10206
78	1905	10153
79	1926	10112
80	1946	10070
81	1966	10022
82	1986	9982
83	2006	9937
84	2026	9894
85	2045	9847
86	2064	9801
87	2084	9759
88	2103	9713
89	2121	9666
90	2140	9622
91	2160	9582
92	2179	9540
93	2197	9492
94	2218	9458
95	2239	9425
96	2262	9399
97	2283	9365
98	2302	9326
99	2321	9286
100	2340	9247
101	2361	9213
102	2381	9177
103	2401	9143
104	2422	9114
105	2441	9076
106	2462	9043
107	2481	9007
108	2501	8974
109	2523	8945
110	2543	8915
111	2563	8881
112	2583	8846
113	2602	8812
114	2622	8780
115	2641	8744
116	2660	8708
117	2679	8674
118	2698	8640
119	2718	8608
120	2738	8577
121	2760	8554
122	2780	8522
123	2800	8491
124	2820	8460
125	2840	8431
126	2860	8401
127	2878	8366
128	2900	8340
129	2919	8308
130	2939	8278
131	2957	8246
132	2977	8215
133	2996	8185
134	3016	8156
135	3037	8128
136	3057	8102
137	3079	8077
138	3100	8052
139	3123	8031
140	3147	8015
141	3170	7993
142	3192	7970
143	3217	7954
144	3239	7930
145	3261	7909
146	3286	7891
147	3308	7868
148	3330	7846
149	3352	7822
150	3375	7802
151	3397	7778
152	3418	7752
153	3439	7728
154	3458	7698
155	3479	7672
156	3500	7647
157	3519	7618
158	3538	7589
159	3558	7562
160	3579	7537
161	3601	7513
162	3621	7487
163	3643	7465
164	3665	7441
165	3684	7413
166	3705	7388
167	3725	7363
168	3748	7342
169	3769	7317
170	3791	7294
171	3812	7271
172	3832	7244
173	3852	7217
174	3872	7192
175	3897	7175
176	3918	7151
177	3940	7127
178	3959	7100
179	3980	7076
180	4000	7050
181	4021	7026
182	4055	7024
183	4075	6998
184	4095	6973
185	4114	6946
186	4135	6921
187	4156	6897
188	4176	6872
189	4197	6848
190	4218	6823
191	4239	6801
192	4260	6776
193	4280	6752
194	4302	6729
195	4325	6709
196	4347	6686
197	4367	6661
198	4386	6634
199	4408	6612
200	4430	6591
201	4453	6570
202	4475	6548
203	4495	6523
204	4516	6499
205	4535	6473
206	4555	6447
207	4574	6421
208	4594	6397
209	4614	6371
210	4634	6347
211	4652	6320
212	4671	6294
213	4691	6269
214	4711	6244
215	4730	6220
216	4749	6194
217	4769	6170
218	4788	6144
219	4807	6119
220	4826	6093
221	4846	6068
222	4866	6044
